id,bairro,subprefeitura,lat,lon,quantidade
178,CAJU,CENTRO,-22.88089,-43.22533,20.0
634,BENFICA,CENTRO,-22.88957,-43.2362,121.0
600,BENFICA,CENTRO,-22.89849,-43.23776,591.0
476,SAO CRISTOVAO,CENTRO,-22.89763,-43.22746,190.0
280,MARACANA/ VILA ISABEL,,-22.90982,-43.23939,491.0
060,MARACANA/ TIJUCA,,-22.91683,-43.23692,
011,TIJUCA,GRANDE TIJUCA,-22.92127,-43.228,445.0
361,TIJUCA,GRANDE TIJUCA,-22.92906,-43.23287,63.0
163,TIJUCA,GRANDE TIJUCA,-22.92684,-43.23789,576.0
180,VILA ISABEL,GRANDE TIJUCA,-22.91615,-43.24705,185.0
226,ANDARAI,GRANDE TIJUCA,-22.92686,-43.25491,164.0
126,GRAJAU,GRANDE TIJUCA,-22.91854,-43.26509,399.0
157,ENGENHO NOVO,ZONA NORTE,-22.90303,-43.26788,350.0
117,JACARE,ZONA NORTE,-22.89418,-43.26385,457.0
259,MARIA DA GRACA,ZONA NORTE,-22.88418,-43.26262,158.0
351,JACARE,ZONA NORTE,-22.88532,-43.2541,489.0
422,MANGUINHOS,ZONA NORTE,-22.88099,-43.25325,123.0
260,BONSUCESSO,ZONA NORTE,-22.87374,-43.24071,
118,BONSUCESSO,ZONA NORTE,-22.85783,-43.24045,210.0
121,RAMOS,ZONA NORTE,-22.85387,-43.25245,167.0
140,BONSUCESSO,ZONA NORTE,-22.86047,-43.25428,153.0
263,VIGARIO GERAL,ZONA NORTE,-22.85714,-43.26416,292.0
498,OLARIA,ZONA NORTE,-22.84858,-43.26859,61.0
230,OLARIA,ZONA NORTE,-22.84779,-43.26144,24.0
663,PENHA,ZONA NORTE,-22.83896,-43.27517,426.0
146,PENHA,ZONA NORTE,-22.84563,-43.28401,151.0
566,PENHA CIRCULAR,ZONA NORTE,-22.83567,-43.28816,564.0
161,PENHA CIRCULAR,ZONA NORTE,-22.82995,-43.28211,509.0
537,PENHA CIRCULAR,ZONA NORTE,-22.83941,-43.30007,234.0
623,VILA KOSMOS,ZONA NORTE,-22.84944,-43.30379,416.0
673,VILA DA PENHA,ZONA NORTE,-22.83783,-43.31254,393.0
388,PARADA DE LUCAS,ZONA NORTE,-22.81527,-43.30357,504.0
388,PARADA DE LUCAS,ZONA NORTE,-22.81527,-43.30357,504.0
041,JARDIM AMERICA,ZONA NORTE,-22.80945,-43.32629,468.0
090,ACARI,ZONA NORTE,-22.81631,-43.34015,67.0
390,PARQUE COLUMBIA,ZONA NORTE,-22.81631,-43.34015,257.0
090,ACARI,ZONA NORTE,-22.81631,-43.34015,67.0
415,COLEGIO,ZONA NORTE,-22.84604,-43.33867,152.0
031,ROCHA MIRANDA,ZONA NORTE,-22.85196,-43.34949,115.0
248,TURIACU,ZONA NORTE,-22.86085,-43.34455,513.0
412,OSWALDO CRUZ,,-22.87221,-43.35033,
069,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468.0
069,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468.0
069,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468.0
069,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468.0
069,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468.0
514,CASCADURA,ZONA NORTE,-22.88241,-43.33811,534.0
206,PRACA SECA,JACAREPAGUA,-22.89693,-43.35267,392.0
206,PRACA SECA,JACAREPAGUA,-22.89693,-43.35267,392.0
023,BENTO RIBEIRO,ZONA NORTE,-22.86459,-43.36595,342.0
495,DEODORO,GRANDE BANGU,-22.85609,-43.38661,128.0
091,GUADALUPE,ZONA NORTE,-22.84542,-43.37852,
589,ANCHIETA,ZONA NORTE,-22.82558,-43.39208,317.0
256,ANCHIETA,ZONA NORTE,-22.82636,-43.40288,345.0
608,PAVUNA,ZONA NORTE,-22.81389,-43.37393,260.0
308,REALENGO,GRANDE BANGU,-22.86652,-43.42515,400.0
520,REALENGO,GRANDE BANGU,-22.87185,-43.43243,136.0
520,REALENGO,GRANDE BANGU,-22.87185,-43.43243,136.0
171,REALENGO,GRANDE BANGU,-22.88346,-43.42945,235.0
687,REALENGO,GRANDE BANGU,-22.88386,-43.41733,
568,JARDIM SULACAP,GRANDE BANGU,-22.88908,-43.39248,362.0
211,TAQUARA,JACAREPAGUA,-22.91883,-43.41625,520.0
636,TAQUARA,JACAREPAGUA,-22.92688,-43.38788,161.0
466,TAQUARA,JACAREPAGUA,-22.93533,-43.36973,279.0
016,CIDADE DE DEUS,JACAREPAGUA,-22.94711,-43.35974,430.0
570,GARDENIA AZUL,JACAREPAGUA,-22.96072,-43.35344,466.0
492,FREGUESIA JPA,,-22.94266,-43.33897,
550,FREGUESIA JPA,,-22.93816,-43.34258,128.0
527,PECHINCHA,JACAREPAGUA,-22.93253,-43.35113,179.0
414,RIO DAS PEDRAS,,-22.97336,-43.32916,26.0
653,SAO CONRADO,ZONA SUL,-22.99742,-43.27218,159.0
587,VIDIGAL,ZONA SUL,-22.9937,-43.23558,336.0
382,LEBLON,ZONA SUL,-22.98156,-43.21703,262.0
540,IPANEMA,ZONA SUL,-22.98196,-43.21358,516.0
017,IPANEMA,ZONA SUL,-22.98333,-43.19904,48.0
017,IPANEMA,ZONA SUL,-22.98333,-43.19904,48.0
413,COPACABANA,ZONA SUL,-22.97483,-43.18906,
558,COPACABANA,ZONA SUL,-22.96865,-43.18114,573.0
268,URCA,ZONA SUL,-22.95382,-43.16888,308.0
450,FLAMENGO,ZONA SUL,-22.94071,-43.17647,420.0
035,LARANJEIRAS,ZONA SUL,-22.93399,-43.18101,525.0
331,CATETE,ZONA SUL,-22.92278,-43.17668,223.0
483,CENTRO,CENTRO,-22.90929,-43.18358,220.0
055,SANTA TERESA,CENTRO,-22.91554,-43.19159,92.0
490,CENTRO,CENTRO,-22.90712,-43.19507,578.0
638,PRACA DA BANDEIRA,GRANDE TIJUCA,-22.91545,-43.21109,293.0
089,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473.0
089,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473.0
089,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473.0
089,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473.0
132,RIO COMPRIDO,CENTRO,-22.92441,-43.20858,67.0
523,BOTAFOGO,ZONA SUL,-22.94556,-43.18659,111.0
309,BOTAFOGO,ZONA SUL,-22.95271,-43.19176,319.0
387,HUMAITA,ZONA SUL,-22.95917,-43.19972,456.0
025,RIACHUELO,ZONA NORTE,-22.9007,-43.25541,183.0
373,MEIER,ZONA NORTE,-22.90416,-43.28033,44.0
660,TODOS OS SANTOS,ZONA NORTE,-22.89203,-43.27992,342.0
660,TODOS OS SANTOS,ZONA NORTE,-22.89203,-43.27992,342.0
502,DEL CASTILHO,ZONA NORTE,-22.87836,-43.27489,493.0
135,INHAUMA,ZONA NORTE,-22.87389,-43.27771,456.0
440,INHAUMA,ZONA NORTE,-22.87757,-43.28563,530.0
217,PILARES,ZONA NORTE,-22.88134,-43.29409,440.0
020,PIEDADE,ZONA NORTE,-22.88766,-43.30247,255.0
429,PIEDADE,ZONA NORTE,-22.89509,-43.31383,
378,AGUA SANTA,ZONA NORTE,-22.90627,-43.30792,365.0
624,ENGENHO DE DENTRO,ZONA NORTE,-22.90034,-43.29594,109.0
603,CAVALCANTI,ZONA NORTE,-22.8743,-43.31472,352.0
676,JARDIM GUANABARA,ILHAS,-22.81244,-43.20966,180.0
274,CACUIA,ILHAS,-22.80769,-43.18156,561.0
413,COPACABANA,ZONA SUL,-22.74828,-43.18906,
576,REALENGO,GRANDE BANGU,-22.85894,-43.44387,148.0
689,PADRE MIGUEL,GRANDE BANGU,-22.86877,-43.45065,571.0
641,PADRE MIGUEL,GRANDE BANGU,-22.88207,-43.44644,269.0
477,REALENGO,GRANDE BANGU,-22.89299,-43.44122,187.0
398,BANGU,GRANDE BANGU,-22.89253,-43.47295,315.0
175,BANGU,GRANDE BANGU,-22.88815,-43.47629,435.0
586,SENADOR CAMARA,GRANDE BANGU,-22.88179,-43.48733,194.0
080,BANGU,GRANDE BANGU,-22.85044,-43.46686,599.0
534,CAMPO GRANDE,ZONA OESTE,-22.85878,-43.53705,157.0
262,AUGUSTO VASCONCELOS,,-22.88649,-43.5288,221.0
139,CAMPO GRANDE,ZONA OESTE,-22.91959,-43.54684,316.0
399,CAMPO GRANDE,ZONA OESTE,-22.92529,-43.56665,71.0
255,SENADOR VASCONCELOS,ZONA OESTE,-22.92529,-43.56665,591.0
052,INHOAIBA,ZONA OESTE,-22.90859,-43.58474,330.0
379,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109.0
379,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109.0
379,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109.0
616,CAMPO GRANDE,ZONA OESTE,-22.8873,-43.58736,372.0
342,CAMPO GRANDE,ZONA OESTE,-22.89036,-43.59399,296.0
320,COSMOS,ZONA OESTE,-22.91097,-43.61605,479.0
319,PACIENCIA,ZONA OESTE,-22.92485,-43.63289,537.0
297,SANTA CRUZ,ZONA OESTE,-22.93011,-43.6529,
323,SANTA CRUZ,ZONA OESTE,-22.93416,-43.66213,106.0
560,SANTA CRUZ,ZONA OESTE,-22.92139,-43.68058,308.0
311,SANTA CRUZ,ZONA OESTE,-22.91572,-43.67975,162.0
246,SANTA CRUZ,ZONA OESTE,-22.92306,-43.69233,459.0
068,NOVA SEPETIBA,,-22.95601,-43.68675,135.0
584,SEPETIBA,ZONA OESTE,-22.97174,-43.69735,342.0
289,GUARATIBA,ZONA OESTE,-22.97906,-43.67058,329.0
515,PEDRA DE GUARATIBA,ZONA OESTE,-22.97451,-43.64817,341.0
474,GUARATIBA,ZONA OESTE,-22.98046,-43.64354,320.0
210,PEDRA DE GUARATIBA,ZONA OESTE,-23.00142,-43.63876,570.0
606,ILHA DE GUARATIBA,ZONA OESTE,-22.99412,-43.59368,521.0
301,GUARATIBA,ZONA OESTE,-22.95316,-43.57741,335.0
144,CAMPO GRANDE,ZONA OESTE,-22.92315,-43.51877,99.0
202,VARGEM GRANDE,BARRA DA TIJUCA,-22.98173,-43.49164,121.0
528,RECREIO,,-23.01981,-43.48172,51.0
215,ILHA DE GUARATIBA,ZONA OESTE,-23.00908,-43.53758,
690,CAMORIM,BARRA DA TIJUCA,-22.97199,-43.41011,94.0
497,PACIENCIA,ZONA OESTE,-22.87319,-43.62773,517.0
573,PACIENCIA,ZONA OESTE,-22.88855,-43.63805,207.0
316,PACIENCIA,ZONA OESTE,-22.91403,-43.65344,579.0
