,id,bairro,subprefeitura,lat,lon,quantidade
0,178,CAJU,CENTRO,-22.88089,-43.22533,20
1,634,BENFICA,CENTRO,-22.88957,-43.2362,121
2,600,BENFICA,CENTRO,-22.89849,-43.23776,591
3,476,SAO CRISTOVAO,CENTRO,-22.89763,-43.22746,190
4,280,MARACANA/ VILA ISABEL,,-22.90982,-43.23939,491
5,060,MARACANA/ TIJUCA,,-22.91683,-43.23692,'NaN'
6,011,TIJUCA,GRANDE TIJUCA,-22.92127,-43.228,445
7,361,TIJUCA,GRANDE TIJUCA,-22.92906,-43.23287,63
8,163,TIJUCA,GRANDE TIJUCA,-22.92684,-43.23789,576
9,180,VILA ISABEL,GRANDE TIJUCA,-22.91615,-43.24705,185
10,226,ANDARAI,GRANDE TIJUCA,-22.92686,-43.25491,164
11,126,GRAJAU,GRANDE TIJUCA,-22.91854,-43.26509,399
12,157,ENGENHO NOVO,ZONA NORTE,-22.90303,-43.26788,350
13,117,JACARE,ZONA NORTE,-22.89418,-43.26385,457
14,259,MARIA DA GRACA,ZONA NORTE,-22.88418,-43.26262,158
15,351,JACARE,ZONA NORTE,-22.88532,-43.2541,489
16,422,MANGUINHOS,ZONA NORTE,-22.88099,-43.25325,123
17,260,BONSUCESSO,ZONA NORTE,-22.87374,-43.24071,'397'
18,118,BONSUCESSO,ZONA NORTE,-22.85783,-43.24045,210
19,121,RAMOS,ZONA NORTE,-22.85387,-43.25245,167
20,140,BONSUCESSO,ZONA NORTE,-22.86047,-43.25428,153
21,263,VIGARIO GERAL,ZONA NORTE,-22.85714,-43.26416,292
22,498,OLARIA,ZONA NORTE,-22.84858,-43.26859,61
23,230,OLARIA,ZONA NORTE,-22.84779,-43.26144,24
24,663,PENHA,ZONA NORTE,-22.83896,-43.27517,426
25,146,PENHA,ZONA NORTE,-22.84563,-43.28401,151
26,566,PENHA CIRCULAR,ZONA NORTE,-22.83567,-43.28816,564
27,161,PENHA CIRCULAR,ZONA NORTE,-22.82995,-43.28211,509
28,537,PENHA CIRCULAR,ZONA NORTE,-22.83941,-43.30007,234
29,623,VILA KOSMOS,ZONA NORTE,-22.84944,-43.30379,416
30,673,VILA DA PENHA,ZONA NORTE,-22.83783,-43.31254,393
31,388,PARADA DE LUCAS,ZONA NORTE,-22.81527,-43.30357,504
32,388,PARADA DE LUCAS,ZONA NORTE,-22.81527,-43.30357,504
33,041,JARDIM AMERICA,ZONA NORTE,-22.80945,-43.32629,468
34,090,ACARI,ZONA NORTE,-22.81631,-43.34015,67
35,390,PARQUE COLUMBIA,ZONA NORTE,-22.81631,-43.34015,257
36,090,ACARI,ZONA NORTE,-22.81631,-43.34015,67
37,415,COLEGIO,ZONA NORTE,-22.84604,-43.33867,152
38,031,ROCHA MIRANDA,ZONA NORTE,-22.85196,-43.34949,115
39,248,TURIACU,ZONA NORTE,-22.86085,-43.34455,513
40,412,OSWALDO CRUZ,,-22.87221,-43.35033,'395'
41,069,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468
42,069,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468
43,069,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468
44,069,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468
45,069,MADUREIRA,ZONA NORTE,-22.87608,-43.34337,468
46,514,CASCADURA,ZONA NORTE,-22.88241,-43.33811,534
47,206,PRACA SECA,JACAREPAGUA,-22.89693,-43.35267,392
48,206,PRACA SECA,JACAREPAGUA,-22.89693,-43.35267,392
49,023,BENTO RIBEIRO,ZONA NORTE,-22.86459,-43.36595,342
50,495,DEODORO,GRANDE BANGU,-22.85609,-43.38661,128
51,091,GUADALUPE,ZONA NORTE,-22.84542,-43.37852,'NaN'
52,589,ANCHIETA,ZONA NORTE,-22.82558,-43.39208,317
53,256,ANCHIETA,ZONA NORTE,-22.82636,-43.40288,345
54,608,PAVUNA,ZONA NORTE,-22.81389,-43.37393,260
55,308,REALENGO,GRANDE BANGU,-22.86652,-43.42515,400
56,520,REALENGO,GRANDE BANGU,-22.87185,-43.43243,136
57,520,REALENGO,GRANDE BANGU,-22.87185,-43.43243,136
58,171,REALENGO,GRANDE BANGU,-22.88346,-43.42945,235
59,687,REALENGO,GRANDE BANGU,-22.88386,-43.41733,
60,568,JARDIM SULACAP,GRANDE BANGU,-22.88908,-43.39248,362
61,211,TAQUARA,JACAREPAGUA,-22.91883,-43.41625,520
62,636,TAQUARA,JACAREPAGUA,-22.92688,-43.38788,161
63,466,TAQUARA,JACAREPAGUA,-22.93533,-43.36973,279
64,016,CIDADE DE DEUS,JACAREPAGUA,-22.94711,-43.35974,430
65,570,GARDENIA AZUL,JACAREPAGUA,-22.96072,-43.35344,466
66,492,FREGUESIA JPA,,-22.94266,-43.33897,
67,550,FREGUESIA JPA,,-22.93816,-43.34258,128
68,527,PECHINCHA,JACAREPAGUA,-22.93253,-43.35113,179
69,414,RIO DAS PEDRAS,,-22.97336,-43.32916,26
70,653,SAO CONRADO,ZONA SUL,-22.99742,-43.27218,159
71,587,VIDIGAL,ZONA SUL,-22.9937,-43.23558,336
72,382,LEBLON,ZONA SUL,-22.98156,-43.21703,262
73,540,IPANEMA,ZONA SUL,-22.98196,-43.21358,516
74,017,IPANEMA,ZONA SUL,-22.98333,-43.19904,48
75,017,IPANEMA,ZONA SUL,-22.98333,-43.19904,48
76,413,COPACABANA,ZONA SUL,-22.97483,-43.18906,''
77,558,COPACABANA,ZONA SUL,-22.96865,-43.18114,573
78,268,URCA,ZONA SUL,-22.95382,-43.16888,308
79,450,FLAMENGO,ZONA SUL,-22.94071,-43.17647,420
80,035,LARANJEIRAS,ZONA SUL,-22.93399,-43.18101,525
81,331,CATETE,ZONA SUL,-22.92278,-43.17668,223
82,483,CENTRO,CENTRO,-22.90929,-43.18358,220
83,055,SANTA TERESA,CENTRO,-22.91554,-43.19159,92
84,490,CENTRO,CENTRO,-22.90712,-43.19507,578
85,638,PRACA DA BANDEIRA,GRANDE TIJUCA,-22.91545,-43.21109,293
86,089,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473
87,089,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473
88,089,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473
89,089,RIO COMPRIDO,CENTRO,-22.91723,-43.21104,473
90,132,RIO COMPRIDO,CENTRO,-22.92441,-43.20858,67
91,523,BOTAFOGO,ZONA SUL,-22.94556,-43.18659,111
92,309,BOTAFOGO,ZONA SUL,-22.95271,-43.19176,319
93,387,HUMAITA,ZONA SUL,-22.95917,-43.19972,456
94,025,RIACHUELO,ZONA NORTE,-22.9007,-43.25541,183
95,373,MEIER,ZONA NORTE,-22.90416,-43.28033,44
96,660,TODOS OS SANTOS,ZONA NORTE,-22.89203,-43.27992,342
97,660,TODOS OS SANTOS,ZONA NORTE,-22.89203,-43.27992,342
98,502,DEL CASTILHO,ZONA NORTE,-22.87836,-43.27489,493
99,135,INHAUMA,ZONA NORTE,-22.87389,-43.27771,456
100,440,INHAUMA,ZONA NORTE,-22.87757,-43.28563,530
101,217,PILARES,ZONA NORTE,-22.88134,-43.29409,440
102,020,PIEDADE,ZONA NORTE,-22.88766,-43.30247,255
103,429,PIEDADE,ZONA NORTE,-22.89509,-43.31383,
104,378,AGUA SANTA,ZONA NORTE,-22.90627,-43.30792,365
105,624,ENGENHO DE DENTRO,ZONA NORTE,-22.90034,-43.29594,109
106,603,CAVALCANTI,ZONA NORTE,-22.8743,-43.31472,352
107,676,JARDIM GUANABARA,ILHAS,-22.81244,-43.20966,180
108,274,CACUIA,ILHAS,-22.80769,-43.18156,561
109,413,COPACABANA,ZONA SUL,-22.74828,-43.18906,''
110,576,REALENGO,GRANDE BANGU,-22.85894,-43.44387,148
111,689,PADRE MIGUEL,GRANDE BANGU,-22.86877,-43.45065,571
112,641,PADRE MIGUEL,GRANDE BANGU,-22.88207,-43.44644,269
113,477,REALENGO,GRANDE BANGU,-22.89299,-43.44122,187
114,398,BANGU,GRANDE BANGU,-22.89253,-43.47295,315
115,175,BANGU,GRANDE BANGU,-22.88815,-43.47629,435
116,586,SENADOR CAMARA,GRANDE BANGU,-22.88179,-43.48733,194
117,080,BANGU,GRANDE BANGU,-22.85044,-43.46686,599
118,534,CAMPO GRANDE,ZONA OESTE,-22.85878,-43.53705,157
119,262,AUGUSTO VASCONCELOS,,-22.88649,-43.5288,221
120,139,CAMPO GRANDE,ZONA OESTE,-22.91959,-43.54684,316
121,399,CAMPO GRANDE,ZONA OESTE,-22.92529,-43.56665,71
122,255,SENADOR VASCONCELOS,ZONA OESTE,-22.92529,-43.56665,591
123,052,INHOAIBA,ZONA OESTE,-22.90859,-43.58474,330
124,379,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109
125,379,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109
126,379,CAMPO GRANDE,ZONA OESTE,-22.89558,-43.57051,109
127,616,CAMPO GRANDE,ZONA OESTE,-22.8873,-43.58736,372
128,342,CAMPO GRANDE,ZONA OESTE,-22.89036,-43.59399,296
129,320,COSMOS,ZONA OESTE,-22.91097,-43.61605,479
130,319,PACIENCIA,ZONA OESTE,-22.92485,-43.63289,537
131,297,SANTA CRUZ,ZONA OESTE,-22.93011,-43.6529,' '
132,323,SANTA CRUZ,ZONA OESTE,-22.93416,-43.66213,106
133,560,SANTA CRUZ,ZONA OESTE,-22.92139,-43.68058,308
134,311,SANTA CRUZ,ZONA OESTE,-22.91572,-43.67975,162
135,246,SANTA CRUZ,ZONA OESTE,-22.92306,-43.69233,459
136,068,NOVA SEPETIBA,,-22.95601,-43.68675,135
137,584,SEPETIBA,ZONA OESTE,-22.97174,-43.69735,342
138,289,GUARATIBA,ZONA OESTE,-22.97906,-43.67058,329
139,515,PEDRA DE GUARATIBA,ZONA OESTE,-22.97451,-43.64817,341
140,474,GUARATIBA,ZONA OESTE,-22.98046,-43.64354,320
141,210,PEDRA DE GUARATIBA,ZONA OESTE,-23.00142,-43.63876,570
142,606,ILHA DE GUARATIBA,ZONA OESTE,-22.99412,-43.59368,521
143,301,GUARATIBA,ZONA OESTE,-22.95316,-43.57741,335
144,144,CAMPO GRANDE,ZONA OESTE,-22.92315,-43.51877,99
145,202,VARGEM GRANDE,BARRA DA TIJUCA,-22.98173,-43.49164,121
146,528,RECREIO,,-23.01981,-43.48172,51
147,215,ILHA DE GUARATIBA,ZONA OESTE,-23.00908,-43.53758,
148,690,CAMORIM,BARRA DA TIJUCA,-22.97199,-43.41011,94
149,497,PACIENCIA,ZONA OESTE,-22.87319,-43.62773,517
150,573,PACIENCIA,ZONA OESTE,-22.88855,-43.63805,207
151,316,PACIENCIA,ZONA OESTE,-22.91403,-43.65344,579
